cpd00263_transpo,
rxn38087,
rxn05800, Carbohydrate metabolism
rxn31234, Carbohydrate metabolism
rxn30386,
rxn30418,
rxn19763, Metabolism of cofactors and vitamins
rxn38078,
rxn17745, Carbohydrate metabolism
rxn31329, Amino acid metabolism
rxn38130, Amino acid metabolism
rxn15964, Energy metabolism
rxn03150, Metabolism of cofactors and vitamins
rxn06433,
rxn16686, Metabolism of terpenoids and polyketides
rxn16641, Amino acid metabolism
rxn38689, Metabolism of cofactors and vitamins
rxn33205, Carbohydrate metabolism
rxn31314,
rxn15321, Carbohydrate metabolism
rxn34014,
rxn00322, Amino acid metabolism
rxn30245, Carbohydrate metabolism
rxn03841, Metabolism of cofactors and vitamins
rxn29986, Nucleotide metabolism
rxn15167, Amino acid metabolism
rxn41427,
rxn33436, Metabolism of cofactors and vitamins
rxn00866, Amino acid metabolism
rxn23024,
EX_cpd10516,
rxn00340, Amino acid metabolism
rxn00124, Metabolism of cofactors and vitamins
rxn29004,
rxn11317, Xenobiotics biodegradation and metabolism
rxn12071,
EX_cpd29690,
rxn14190,
rxn10954, Amino acid metabolism
rxn25075, Biosynthesis of other secondary metabolites
rxn14246,
rxn32561, Nucleotide metabolism
rxn13703,
rxn10448, Metabolism of cofactors and vitamins
rxn30277, Carbohydrate metabolism
rxn25073, Biosynthesis of other secondary metabolites
rxn08088,
rxn40158, Lipid metabolism
rxn45744,
rxn32502, Xenobiotics biodegradation and metabolism
rxn25583, Biosynthesis of other secondary metabolites
rxn25238, Amino acid metabolism
rxn08240,
rxn45866,
rxn38183, Nucleotide metabolism
rxn15957, Amino acid metabolism
rxn05244,
rxn05508,
rxn10155, Energy metabolism
rxn05573,
rxn05669,
rxn05300, Lipid metabolism
EX_cpd01155,
cpd01155_transpo,
rxn15306, Nucleotide metabolism
rxn30618, Metabolism of other amino acids
rxn04598, Amino acid metabolism
rxn04597, Amino acid metabolism
rxn00745,
rxn00784, Carbohydrate metabolism
rxn32646, Amino acid metabolism
rxn08982, Metabolism of terpenoids and polyketides
rxn33894, Carbohydrate metabolism
rxn08947, Metabolism of cofactors and vitamins
rxn13746,
rxn23456,
rxn40163, Lipid metabolism
rxn05221, Nucleotide metabolism
rxn08856,
rxn09875, Carbohydrate metabolism
rxn09260,
rxn08747, Metabolism of terpenoids and polyketides
rxn05220, Nucleotide metabolism
EX_cpd00081,
EX_cpd03343,
cpd03343_transpo,
rxn11714, Lipid metabolism
rxn11717, Lipid metabolism
rxn25713, Lipid metabolism
rxn33702, Lipid metabolism
rxn11713, Lipid metabolism
rxn25709,
rxn16288, Lipid metabolism
rxn11715, Lipid metabolism
rxn37686, Lipid metabolism
rxn11716, Lipid metabolism
rxn20503,
rxn33728, Lipid metabolism
rxn08879,
rxn08951,
rxn34543,
rxn43519,
rxn27261, Energy metabolism
rxn11318,
rxn00416, Amino acid metabolism
rxn05222, Nucleotide metabolism
rxn09339, Metabolism of terpenoids and polyketides
rxn28051,
rxn01800, Nucleotide metabolism
rxn33463,
